[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1201241390.953000 1/25/2008, 3:09:50 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, Pr(Ru0.90Rh0.10)4P12
INFO, WEIGHT, 275.200
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, Sample lot No.2
INFO, SEQUENCE FILE: Rh_doped.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1201248104.812,,1.000000e+003,8.955775e+001,3.703712e-003,5.520250e-007,3,9.815387e-001,1.490464e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.081696e-001,0.000000e+000,0,,0,
1201248316.453,,1.000000e+003,9.348524e+001,3.571041e-003,9.104393e-008,3,9.816200e-001,2.549507e-003,,,,,,,,,,,,,,32,2,4.000000e+000,2.286835e-001,0.000000e+000,0,,0,
1201248530.015,,1.000000e+003,9.752737e+001,3.445620e-003,1.481725e-008,3,9.818261e-001,4.300315e-004,,,,,,,,,,,,,,32,2,4.000000e+000,9.496307e-002,0.000000e+000,0,,0,
1201248743.515,,1.000000e+003,1.015260e+002,3.329913e-003,2.436615e-007,3,9.818629e-001,7.317352e-003,,,,,,,,,,,,,,32,2,4.000000e+000,1.575012e-001,0.000000e+000,0,,0,
1201248957.859,,1.000000e+003,1.054910e+002,3.222042e-003,9.960500e-008,3,9.819772e-001,3.091363e-003,,,,,,,,,,,,,,32,2,4.000000e+000,5.450439e-002,0.000000e+000,0,,0,
1201249170.937,,1.000000e+003,1.094812e+002,3.121004e-003,1.481725e-008,3,9.819081e-001,4.747592e-004,,,,,,,,,,,,,,32,2,4.000000e+000,8.470154e-002,0.000000e+000,0,,0,
1201249381.468,,1.000000e+003,1.134138e+002,3.027540e-003,8.055646e-007,3,9.820116e-001,2.660789e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.576004e-001,0.000000e+000,0,,0,
1201249590.390,,1.000000e+003,1.174436e+002,2.937000e-003,5.912083e-007,3,9.822730e-001,2.012967e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.074982e-001,0.000000e+000,0,,0,
1201249800.390,,1.000000e+003,1.214178e+002,2.851214e-003,1.550872e-007,3,9.823347e-001,5.439340e-003,,,,,,,,,,,,,,32,2,4.000000e+000,1.455994e-001,0.000000e+000,0,,0,
1201250007.078,,1.000000e+003,1.253918e+002,2.771523e-003,1.285809e-007,3,9.824127e-001,4.639359e-003,,,,,,,,,,,,,,32,2,4.000000e+000,3.343964e-001,0.000000e+000,0,,0,
